"statno","YYYYMMDD","year","month","day","Tg","Tn","Tx"
280,19060301,1906,3,1,2.7,0,6.2
280,19060302,1906,3,2,2.1,0.5,4.8
280,19060303,1906,3,3,2.5,0.3,5.2
280,19060304,1906,3,4,5.1,2.8,7.6
280,19060305,1906,3,5,6.7,1,11.8
280,19060306,1906,3,6,9,5.5,13
280,19060307,1906,3,7,10.2,6.2,15.3
280,19060308,1906,3,8,7.2,5.6,9
280,19060309,1906,3,9,4.2,1.3,6.3
280,19060310,1906,3,10,2.1,-0.9,6.6
280,19060311,1906,3,11,4.1,-1.2,8.7
280,19060312,1906,3,12,2.5,-0.6,8.2
280,19060313,1906,3,13,-1.3,-3.2,1
280,19060314,1906,3,14,0.2,-2.1,4.5
280,19060315,1906,3,15,2.7,-3.5,7.9
280,19060316,1906,3,16,7.8,4.9,9.6
280,19060317,1906,3,17,8.2,6.9,11.5
280,19060318,1906,3,18,5.8,1.7,8
280,19060319,1906,3,19,3.2,0.8,6.2
280,19060320,1906,3,20,3.4,0.2,6.6
280,19060321,1906,3,21,0.4,-1.3,2.7
280,19060322,1906,3,22,-0.3,-2,2.4
280,19060323,1906,3,23,-0.8,-4.2,1.7
280,19060324,1906,3,24,0.1,-1,1.5
280,19060325,1906,3,25,0.6,-0.4,2.2
280,19060326,1906,3,26,1.2,0.2,3
280,19060327,1906,3,27,1.3,-1.5,4.6
280,19060328,1906,3,28,1.6,-2.8,5.3
280,19060329,1906,3,29,2.1,0.1,4.6
280,19060330,1906,3,30,2.5,-1,4.9
280,19060331,1906,3,31,5.2,1.9,8.3
280,19060401,1906,4,1,4.2,2.8,6.9
280,19060402,1906,4,2,5.1,-0.2,11.5
280,19060403,1906,4,3,5.8,0.6,13.1
280,19060404,1906,4,4,6.9,1,14.5
280,19060405,1906,4,5,6.4,-0.2,13.3
280,19060406,1906,4,6,7.1,0.5,13.8
280,19060407,1906,4,7,6.4,0.9,13.5
280,19060408,1906,4,8,6.3,0.9,12.3
280,19060409,1906,4,9,7.5,2.9,14.4
280,19060410,1906,4,10,11.4,3.5,20.3
280,19060411,1906,4,11,14.3,6.8,23.1
280,19060412,1906,4,12,14.5,7.8,22.8
280,19060413,1906,4,13,13.7,7.8,19.9
280,19060414,1906,4,14,8.2,3.9,11.9
280,19060415,1906,4,15,6.3,-0.7,12.7
280,19060416,1906,4,16,7.7,-0.6,15.1
280,19060417,1906,4,17,9.4,2.3,17.1
280,19060418,1906,4,18,6.8,5.2,8.5
280,19060419,1906,4,19,5.9,4.8,6.7
280,19060420,1906,4,20,6.4,3.9,9
280,19060421,1906,4,21,10.5,7.7,15
280,19060422,1906,4,22,7.9,4.2,11
280,19060423,1906,4,23,4.9,0,10
280,19060424,1906,4,24,2.8,-1.2,7
280,19060425,1906,4,25,4.4,0.4,9.4
280,19060426,1906,4,26,4.9,-0.9,9
280,19060427,1906,4,27,5.6,0.6,9.7
280,19060428,1906,4,28,4,-0.6,7.3
280,19060429,1906,4,29,6.3,2.5,10.9
280,19060430,1906,4,30,5.8,0.9,11.7
280,19060501,1906,5,1,5.7,2.5,9.5
280,19060502,1906,5,2,7.5,1.2,13
280,19060503,1906,5,3,10.5,4.7,15.8
280,19060504,1906,5,4,13,9.7,16.8
280,19060505,1906,5,5,12.7,7.4,17.9
280,19060506,1906,5,6,14.3,7.2,20.9
280,19060507,1906,5,7,16.3,10,23
280,19060508,1906,5,8,19,11.6,26.2
280,19060509,1906,5,9,16.5,10.8,24.8
280,19060510,1906,5,10,8.6,7,10.8
280,19060511,1906,5,11,10,6.5,13.4
280,19060512,1906,5,12,15.2,8.4,22.1
280,19060513,1906,5,13,16.2,10.3,22.4
280,19060514,1906,5,14,13.7,11.3,19.8
280,19060515,1906,5,15,11,7.8,14.1
280,19060516,1906,5,16,8.6,6.1,12.8
280,19060517,1906,5,17,10.5,6.2,14.8
280,19060518,1906,5,18,10.8,9.6,12.2
280,19060519,1906,5,19,9.9,8.9,11.2
280,19060520,1906,5,20,10.6,8.8,13.5
280,19060521,1906,5,21,9,7.5,10.6
280,19060522,1906,5,22,11,8.6,14.3
280,19060523,1906,5,23,13.6,9.2,18.8
280,19060524,1906,5,24,16.2,8.8,23.3
280,19060525,1906,5,25,13,8.2,17.2
280,19060526,1906,5,26,12.3,6,16.9
280,19060527,1906,5,27,14,11.9,17.6
280,19060528,1906,5,28,15.4,13.1,19.2
280,19060529,1906,5,29,14.6,12.2,17.6
280,19060530,1906,5,30,12.1,10.6,13.3
280,19060531,1906,5,31,13.4,9.1,18.4
280,19060601,1906,6,1,9.8,6.7,13.7
280,19060602,1906,6,2,10.1,6.4,13.5
280,19060603,1906,6,3,10.3,9,11.8
280,19060604,1906,6,4,9.3,7.7,11.5
280,19060605,1906,6,5,9.5,5.4,12.7
280,19060606,1906,6,6,10.4,5.4,15
280,19060607,1906,6,7,12.1,6.9,17.7
280,19060608,1906,6,8,13.2,9.7,17.2
280,19060609,1906,6,9,12.5,9.3,16.2
280,19060610,1906,6,10,11.1,9.6,12.8
280,19060611,1906,6,11,12.3,9.8,16.6
280,19060612,1906,6,12,11.6,9.2,15.5
280,19060613,1906,6,13,10.8,9.3,13.5
280,19060614,1906,6,14,10.9,8.4,12.8
280,19060615,1906,6,15,11.6,8.6,15
280,19060616,1906,6,16,16,11.7,21.2
280,19060617,1906,6,17,18.9,12.7,25
280,19060618,1906,6,18,18.6,13.4,24.2
280,19060619,1906,6,19,16.4,12.7,21.5
280,19060620,1906,6,20,16.4,12.1,22.1
280,19060621,1906,6,21,17,10.5,22.2
280,19060622,1906,6,22,16.2,12.8,21.2
280,19060623,1906,6,23,15.4,11.9,20
280,19060624,1906,6,24,16.7,10.4,22.3
280,19060625,1906,6,25,17.3,13.8,20.9
280,19060626,1906,6,26,17.1,14.5,21.3
280,19060627,1906,6,27,18.6,12.9,23.9
280,19060628,1906,6,28,16.5,12.3,19
280,19060629,1906,6,29,12.3,8.3,14.5
280,19060630,1906,6,30,10.8,7.1,14.4
280,19060701,1906,7,1,12,5.2,17.4
280,19060702,1906,7,2,13,7.9,18.3
280,19060703,1906,7,3,16.1,10,21.4
280,19060704,1906,7,4,17.4,13.1,23.2
280,19060705,1906,7,5,16.1,12.9,18.9
280,19060706,1906,7,6,15.3,10.3,19
280,19060707,1906,7,7,15.5,8.7,21.4
280,19060708,1906,7,8,18.2,12,25.6
280,19060709,1906,7,9,16,11.9,20
280,19060710,1906,7,10,16,9.2,21.3
280,19060711,1906,7,11,14.9,12.5,17.5
280,19060712,1906,7,12,11,9.5,12.5
280,19060713,1906,7,13,12.9,8.3,16.8
280,19060714,1906,7,14,14.6,10.5,19
280,19060715,1906,7,15,15.6,11.1,20
280,19060716,1906,7,16,14.4,11.3,16.4
280,19060717,1906,7,17,16.6,13.2,19.1
280,19060718,1906,7,18,19.9,13.2,25.2
280,19060719,1906,7,19,16.4,10.3,22.1
280,19060720,1906,7,20,12.7,9,16.5
280,19060721,1906,7,21,13.1,9.9,17.5
280,19060722,1906,7,22,16,8.4,21.3
280,19060723,1906,7,23,19.7,16.5,24.2
280,19060724,1906,7,24,17.8,14.6,22
280,19060725,1906,7,25,15.3,11.7,19.6
280,19060726,1906,7,26,16.3,10.9,22.6
280,19060727,1906,7,27,17.6,11.8,23.5
280,19060728,1906,7,28,20.1,13.9,26.8
280,19060729,1906,7,29,19.8,12.8,26.3
280,19060730,1906,7,30,22.5,13.9,29.2
280,19060731,1906,7,31,23.6,17.2,30.1
280,19060801,1906,8,1,21.3,16,26.6
280,19060802,1906,8,2,20.6,12.4,26.9
280,19060803,1906,8,3,19.5,15.4,24.1
280,19060804,1906,8,4,16.8,12.9,20.7
280,19060805,1906,8,5,15.4,11.6,19.2
280,19060806,1906,8,6,15.2,10.9,19.5
280,19060807,1906,8,7,15.3,12.4,19
280,19060808,1906,8,8,17.1,12.4,21.4
280,19060809,1906,8,9,16.3,14.5,19.7
280,19060810,1906,8,10,15.6,11.9,19.4
